id,area,timestep,b,load,shedding,dumping
1,1,1,0,151.35,0.0,0.0
2,1,1,1,151.35,0.0,0.0
3,1,1,2,151.35,0.0,0.0
4,1,1,3,151.35,0.0,0.0
5,1,2,0,166.03,0.0,0.0
6,1,2,1,166.03,0.0,0.0
7,1,2,2,166.03,0.0,0.0
8,1,2,3,166.03,0.0,0.0
9,1,3,0,187.39,0.0,0.0
10,1,3,1,187.39,0.0,0.0
11,1,3,2,187.39,0.0,0.0
12,1,3,3,187.39,0.0,0.0
13,1,4,0,209.66,0.0,0.0
14,1,4,1,209.66,0.0,0.0
15,1,4,2,209.66,0.0,0.0
16,1,4,3,209.66,0.0,0.0
17,1,5,0,243.53,0.0,0.0
18,1,5,1,243.53,0.0,0.0
19,1,5,2,243.53,0.0,0.0
20,1,5,3,243.53,0.0,0.0
21,1,6,0,277.31,0.0,0.0
22,1,6,1,277.31,0.0,0.0
23,1,6,2,277.31,0.0,0.0
24,1,6,3,277.31,0.0,0.0
25,1,7,0,284.98,0.0,0.0
26,1,7,1,284.98,0.0,0.0
27,1,7,2,284.98,0.0,0.0
28,1,7,3,284.98,0.0,0.0
29,1,8,0,262.28,0.0,0.0
30,1,8,1,262.28,0.0,0.0
31,1,8,2,262.28,0.0,0.0
32,1,8,3,262.28,0.0,0.0
33,1,9,0,198.38,0.0,0.0
34,1,9,1,198.38,0.0,0.0
35,1,9,2,198.38,0.0,0.0
36,1,9,3,198.38,0.0,0.0
37,1,10,0,139.64,0.0,0.0
38,1,10,1,139.64,0.0,0.0
39,1,10,2,139.64,0.0,0.0
40,1,10,3,139.64,0.0,0.0
41,1,11,0,126.96,0.0,0.0
42,1,11,1,126.96,0.0,0.0
43,1,11,2,126.96,0.0,0.0
44,1,11,3,126.96,0.0,0.0
45,1,12,0,144.56,0.0,0.0
46,1,12,1,144.56,0.0,0.0
47,1,12,2,144.56,0.0,0.0
48,1,12,3,144.56,0.0,0.0
49,1,13,0,206.65,0.0,0.0
50,1,13,1,206.65,0.0,0.0
51,1,13,2,206.65,0.0,0.0
52,1,13,3,206.65,0.0,0.0
53,1,14,0,274.46,0.0,0.0
54,1,14,1,274.46,0.0,0.0
55,1,14,2,274.46,0.0,0.0
56,1,14,3,274.46,0.0,0.0
57,1,15,0,307.29,0.0,0.0
58,1,15,1,307.29,0.0,0.0
59,1,15,2,307.29,0.0,0.0
60,1,15,3,307.29,0.0,0.0
61,1,16,0,317.94,0.0,0.0
62,1,16,1,317.94,0.0,0.0
63,1,16,2,317.94,0.0,0.0
64,1,16,3,317.94,0.0,0.0
65,1,17,0,309.45,0.0,0.0
66,1,17,1,309.45,0.0,0.0
67,1,17,2,309.45,0.0,0.0
68,1,17,3,309.45,0.0,0.0
69,1,18,0,299.92,0.0,0.0
70,1,18,1,299.92,0.0,0.0
71,1,18,2,299.92,0.0,0.0
72,1,18,3,299.92,0.0,0.0
73,1,19,0,296.17,0.0,0.0
74,1,19,1,296.17,0.0,0.0
75,1,19,2,296.17,0.0,0.0
76,1,19,3,296.17,0.0,0.0
77,1,20,0,289.07,0.0,0.0
78,1,20,1,289.07,0.0,0.0
79,1,20,2,289.07,0.0,0.0
80,1,20,3,289.07,0.0,0.0
81,1,21,0,276.54,0.0,0.0
82,1,21,1,276.54,0.0,0.0
83,1,21,2,276.54,0.0,0.0
84,1,21,3,276.54,0.0,0.0
85,1,22,0,264.19,0.0,0.0
86,1,22,1,264.19,0.0,0.0
87,1,22,2,264.19,0.0,0.0
88,1,22,3,264.19,0.0,0.0
89,1,23,0,258.04,0.0,0.0
90,1,23,1,258.04,0.0,0.0
91,1,23,2,258.04,0.0,0.0
92,1,23,3,258.04,0.0,0.0
93,1,24,0,256.61,0.0,0.0
94,1,24,1,256.61,0.0,0.0
95,1,24,2,256.61,0.0,0.0
96,1,24,3,256.61,0.0,0.0
97,1,25,0,259.31,0.0,0.0
98,1,25,1,259.31,0.0,0.0
99,1,25,2,259.31,0.0,0.0
100,1,25,3,259.31,0.0,0.0
101,1,26,0,262.22,0.0,0.0
102,1,26,1,262.22,0.0,0.0
103,1,26,2,262.22,0.0,0.0
104,1,26,3,262.22,0.0,0.0
105,1,27,0,263.94,0.0,0.0
106,1,27,1,263.94,0.0,0.0
107,1,27,2,263.94,0.0,0.0
108,1,27,3,263.94,0.0,0.0
109,1,28,0,266.31,0.0,0.0
110,1,28,1,266.31,0.0,0.0
111,1,28,2,266.31,0.0,0.0
112,1,28,3,266.31,0.0,0.0
113,1,29,0,266.21,0.0,0.0
114,1,29,1,266.21,0.0,0.0
115,1,29,2,266.21,0.0,0.0
116,1,29,3,266.21,0.0,0.0
117,1,30,0,266.46,0.0,0.0
118,1,30,1,266.46,0.0,0.0
119,1,30,2,266.46,0.0,0.0
120,1,30,3,266.46,0.0,0.0
121,1,31,0,273.79,0.0,0.0
122,1,31,1,273.79,0.0,0.0
123,1,31,2,273.79,0.0,0.0
124,1,31,3,273.79,0.0,0.0
125,1,32,0,289.42,0.0,0.0
126,1,32,1,289.42,0.0,0.0
127,1,32,2,289.42,0.0,0.0
128,1,32,3,289.42,0.0,0.0
129,1,33,0,322.58,0.0,0.0
130,1,33,1,322.58,0.0,0.0
131,1,33,2,322.58,0.0,0.0
132,1,33,3,322.58,0.0,0.0
133,1,34,0,355.96,0.0,0.0
134,1,34,1,355.96,0.0,0.0
135,1,34,2,355.96,0.0,0.0
136,1,34,3,355.96,0.0,0.0
137,1,35,0,364.47,0.0,0.0
138,1,35,1,364.47,0.0,0.0
139,1,35,2,364.47,0.0,0.0
140,1,35,3,364.47,0.0,0.0
141,1,36,0,349.01,0.0,0.0
142,1,36,1,349.01,0.0,0.0
143,1,36,2,349.01,0.0,0.0
144,1,36,3,349.01,0.0,0.0
145,1,37,0,303.58,0.0,0.0
146,1,37,1,303.58,0.0,0.0
147,1,37,2,303.58,0.0,0.0
148,1,37,3,303.58,0.0,0.0
149,1,38,0,259.7,0.0,0.0
150,1,38,1,259.7,0.0,0.0
151,1,38,2,259.7,0.0,0.0
152,1,38,3,259.7,0.0,0.0
153,1,39,0,245.23,0.0,0.0
154,1,39,1,245.23,0.0,0.0
155,1,39,2,245.23,0.0,0.0
156,1,39,3,245.23,0.0,0.0
157,1,40,0,250.52,0.0,0.0
158,1,40,1,250.52,0.0,0.0
159,1,40,2,250.52,0.0,0.0
160,1,40,3,250.52,0.0,0.0
161,1,41,0,282.5,0.0,0.0
162,1,41,1,282.5,0.0,0.0
163,1,41,2,282.5,0.0,0.0
164,1,41,3,282.5,0.0,0.0
165,1,42,0,315.56,0.0,0.0
166,1,42,1,315.56,0.0,0.0
167,1,42,2,315.56,0.0,0.0
168,1,42,3,315.56,0.0,0.0
169,1,43,0,323.51,0.0,0.0
170,1,43,1,323.51,0.0,0.0
171,1,43,2,323.51,0.0,0.0
172,1,43,3,323.51,0.0,0.0
173,1,44,0,312.98,0.0,0.0
174,1,44,1,312.98,0.0,0.0
175,1,44,2,312.98,0.0,0.0
176,1,44,3,312.98,0.0,0.0
177,1,45,0,282.32,0.0,0.0
178,1,45,1,282.32,0.0,0.0
179,1,45,2,282.32,0.0,0.0
180,1,45,3,282.32,0.0,0.0
181,1,46,0,252.07,0.0,0.0
182,1,46,1,252.07,0.0,0.0
183,1,46,2,252.07,0.0,0.0
184,1,46,3,252.07,0.0,0.0
185,1,47,0,237.71,0.0,0.0
186,1,47,1,237.71,0.0,0.0
187,1,47,2,237.71,0.0,0.0
188,1,47,3,237.71,0.0,0.0
189,1,48,0,232.03,0.0,0.0
190,1,48,1,232.03,0.0,0.0
191,1,48,2,232.03,0.0,0.0
192,1,48,3,232.03,0.0,0.0
193,1,49,0,232.63,0.0,0.0
194,1,49,1,232.63,0.0,0.0
195,1,49,2,232.63,0.0,0.0
196,1,49,3,232.63,0.0,0.0
197,1,50,0,233.75,0.0,0.0
198,1,50,1,233.75,0.0,0.0
199,1,50,2,233.75,0.0,0.0
200,1,50,3,233.75,0.0,0.0
201,1,51,0,235.15,0.0,0.0
202,1,51,1,235.15,0.0,0.0
203,1,51,2,235.15,0.0,0.0
204,1,51,3,235.15,0.0,0.0
205,1,52,0,240.37,0.0,0.0
206,1,52,1,240.37,0.0,0.0
207,1,52,2,240.37,0.0,0.0
208,1,52,3,240.37,0.0,0.0
209,1,53,0,248.23,0.0,0.0
210,1,53,1,248.23,0.0,0.0
211,1,53,2,248.23,0.0,0.0
212,1,53,3,248.23,0.0,0.0
213,1,54,0,256.42,0.0,0.0
214,1,54,1,256.42,0.0,0.0
215,1,54,2,256.42,0.0,0.0
216,1,54,3,256.42,0.0,0.0
217,1,55,0,265.87,0.0,0.0
218,1,55,1,265.87,0.0,0.0
219,1,55,2,265.87,0.0,0.0
220,1,55,3,265.87,0.0,0.0
221,1,56,0,278.87,0.0,0.0
222,1,56,1,278.87,0.0,0.0
223,1,56,2,278.87,0.0,0.0
224,1,56,3,278.87,0.0,0.0
225,1,57,0,302.85,0.0,0.0
226,1,57,1,302.85,0.0,0.0
227,1,57,2,302.85,0.0,0.0
228,1,57,3,302.85,0.0,0.0
229,1,58,0,326.67,0.0,0.0
230,1,58,1,326.67,0.0,0.0
231,1,58,2,326.67,0.0,0.0
232,1,58,3,326.67,0.0,0.0
233,1,59,0,331.81,0.0,0.0
234,1,59,1,331.81,0.0,0.0
235,1,59,2,331.81,0.0,0.0
236,1,59,3,331.81,0.0,0.0
237,1,60,0,317.95,0.0,0.0
238,1,60,1,317.95,0.0,0.0
239,1,60,2,317.95,0.0,0.0
240,1,60,3,317.95,0.0,0.0
241,1,61,0,283.65,0.0,0.0
242,1,61,1,283.65,0.0,0.0
243,1,61,2,283.65,0.0,0.0
244,1,61,3,283.65,0.0,0.0
245,1,62,0,249.86,0.0,0.0
246,1,62,1,249.86,0.0,0.0
247,1,62,2,249.86,0.0,0.0
248,1,62,3,249.86,0.0,0.0
249,1,63,0,231.74,0.0,0.0
250,1,63,1,231.74,0.0,0.0
251,1,63,2,231.74,0.0,0.0
252,1,63,3,231.74,0.0,0.0
253,1,64,0,221.71,0.0,0.0
254,1,64,1,221.71,0.0,0.0
255,1,64,2,221.71,0.0,0.0
256,1,64,3,221.71,0.0,0.0
257,1,65,0,217.14,0.0,0.0
258,1,65,1,217.14,0.0,0.0
259,1,65,2,217.14,0.0,0.0
260,1,65,3,217.14,0.0,0.0
261,1,66,0,213.03,0.0,0.0
262,1,66,1,213.03,0.0,0.0
263,1,66,2,213.03,0.0,0.0
264,1,66,3,213.03,0.0,0.0
265,1,67,0,209.65,0.0,0.0
266,1,67,1,209.65,0.0,0.0
267,1,67,2,209.65,0.0,0.0
268,1,67,3,209.65,0.0,0.0
269,1,68,0,209.92,0.0,0.0
270,1,68,1,209.92,0.0,0.0
271,1,68,2,209.92,0.0,0.0
272,1,68,3,209.92,0.0,0.0
273,1,69,0,208.09,0.0,0.0
274,1,69,1,208.09,0.0,0.0
275,1,69,2,208.09,0.0,0.0
276,1,69,3,208.09,0.0,0.0
277,1,70,0,206.98,0.0,0.0
278,1,70,1,206.98,0.0,0.0
279,1,70,2,206.98,0.0,0.0
280,1,70,3,206.98,0.0,0.0
281,1,71,0,217.57,0.0,0.0
282,1,71,1,217.57,0.0,0.0
283,1,71,2,217.57,0.0,0.0
284,1,71,3,217.57,0.0,0.0
285,1,72,0,242.9,0.0,0.0
286,1,72,1,242.9,0.0,0.0
287,1,72,2,242.9,0.0,0.0
288,1,72,3,242.9,0.0,0.0
289,1,73,0,294.12,0.0,0.0
290,1,73,1,294.12,0.0,0.0
291,1,73,2,294.12,0.0,0.0
292,1,73,3,294.12,0.0,0.0
293,1,74,0,347.08,0.0,0.0
294,1,74,1,347.08,0.0,0.0
295,1,74,2,347.08,0.0,0.0
296,1,74,3,347.08,0.0,0.0
297,1,75,0,370.15,0.0,0.0
298,1,75,1,370.15,0.0,0.0
299,1,75,2,370.15,0.0,0.0
300,1,75,3,370.15,0.0,0.0
301,1,76,0,366.61,0.0,0.0
302,1,76,1,366.61,0.0,0.0
303,1,76,2,366.61,0.0,0.0
304,1,76,3,366.61,0.0,0.0
305,1,77,0,334.31,0.0,0.0
306,1,77,1,334.31,0.0,0.0
307,1,77,2,334.31,0.0,0.0
308,1,77,3,334.31,0.0,0.0
309,1,78,0,302.23,0.0,0.0
310,1,78,1,302.23,0.0,0.0
311,1,78,2,302.23,0.0,0.0
312,1,78,3,302.23,0.0,0.0
313,1,79,0,291.54,0.0,0.0
