timestep,line_id,transmission,area_from,area_to
1,1,59.929038000000126,1,2
1,2,250.00000000000006,2,1
1,3,250.00000000000006,1,3
1,4,250.00000000000006,3,1
1,5,250.00000000000006,2,3
1,6,76.42637625000005,3,2
2,1,56.88893199400009,1,2
2,2,250.0,2,1
2,3,250.0,1,3
2,4,250.0,3,1
2,5,250.0,2,3
2,6,63.833449992050454,3,2
3,1,35.45256067030024,1,2
3,2,250.0,2,1
3,3,250.0,1,3
3,4,250.0,3,1
3,5,250.0,2,3
3,6,32.537070669750214,3,2
4,1,18.168832934999962,1,2
4,2,250.0,2,1
4,3,124.98750000000014,1,3
4,4,129.5586126211106,3,1
4,5,241.03178601827514,2,3
4,6,15.464226422699975,3,2
5,1,-5.684341886080802e-14,1,2
5,2,250.0,2,1
5,3,1.5621875156250227,1,3
5,4,24.170310947756814,3,1
5,5,249.77280106562097,2,3
5,6,-5.684341886080802e-14,3,2
6,1,-5.684341886080802e-14,1,2
6,2,250.0,2,1
6,3,-5.684341886080802e-14,1,3
6,4,48.402781486583585,3,1
6,5,243.69097766713202,2,3
6,6,-5.684341886080802e-14,3,2
7,1,-5.684341886080802e-14,1,2
7,2,250.0,2,1
7,3,-5.684341886080802e-14,1,3
7,4,35.21019664315389,3,1
7,5,229.33183065200183,2,3
7,6,-5.684341886080802e-14,3,2
8,1,-5.684341886080802e-14,1,2
8,2,216.16422405714894,2,1
8,3,3.4579583045864237,1,3
8,4,15.7702018624998,3,1
8,5,242.3228518486329,2,3
8,6,-5.684341886080802e-14,3,2
9,1,62.71640108515455,1,2
9,2,229.54590797974203,2,1
9,3,125.0125000000006,1,3
9,4,125.0125000000006,3,1
9,5,214.92337765473818,2,3
9,6,26.09800111130488,3,2
10,1,92.53260801082897,1,2
10,2,220.96028029742135,2,1
10,3,187.5000006249999,1,3
10,4,187.5000006249999,3,1
10,5,238.80154289800697,2,3
10,6,40.05508085290417,3,2
11,1,93.2820937503002,1,2
11,2,222.915411896105,2,1
11,3,187.500000625,1,3
11,4,187.500000625,3,1
11,5,225.84833110725307,2,3
11,6,41.19485961237567,3,2
12,1,69.76370443939962,1,2
12,2,210.76205626208568,2,1
12,3,124.98750000000014,1,3
12,4,124.98750000000014,3,1
12,5,209.93336945597395,2,3
12,6,26.299365557974554,3,2
13,1,-5.684341886080802e-14,1,2
13,2,152.14589891668152,2,1
13,3,14.039735978782625,1,3
13,4,0.8100588030929771,3,1
13,5,203.12974252999254,2,3
13,6,-5.684341886080802e-14,3,2
14,1,-5.684341886080802e-14,1,2
14,2,114.18040999230008,2,1
14,3,65.96833578900667,1,3
14,4,-5.684341886080802e-14,3,1
14,5,250.0,2,3
14,6,-5.684341886080802e-14,3,2
15,1,-5.684341886080802e-14,1,2
15,2,121.22785699852426,2,1
15,3,80.73870168960441,1,3
15,4,-5.684341886080802e-14,3,1
15,5,250.0,2,3
15,6,-5.684341886080802e-14,3,2
16,1,-5.684341886080802e-14,1,2
16,2,127.9580895258744,2,1
16,3,69.42087633910393,1,3
16,4,-5.684341886080802e-14,3,1
16,5,250.0,2,3
16,6,-5.684341886080802e-14,3,2
17,1,-5.684341886080802e-14,1,2
17,2,145.61304746302412,2,1
17,3,36.95633060628872,1,3
17,4,-5.684341886080802e-14,3,1
17,5,250.0,2,3
17,6,-5.684341886080802e-14,3,2
18,1,-5.684341886080802e-14,1,2
18,2,151.28495645669972,2,1
18,3,29.273950303144893,1,3
18,4,-5.684341886080802e-14,3,1
18,5,250.0,2,3
18,6,-5.684341886080802e-14,3,2
19,1,-5.684341886080802e-14,1,2
19,2,144.43435045589953,2,1
19,3,31.49414079986888,1,3
19,4,-5.684341886080802e-14,3,1
19,5,250.0,2,3
19,6,-5.684341886080802e-14,3,2
20,1,-5.684341886080802e-14,1,2
20,2,124.84616845367611,2,1
20,3,43.52104106144483,1,3
20,4,-5.684341886080802e-14,3,1
20,5,250.0,2,3
20,6,-5.684341886080802e-14,3,2
21,1,-5.684341886080802e-14,1,2
21,2,89.41112834352136,2,1
21,3,63.60433805805927,1,3
21,4,-5.684341886080802e-14,3,1
21,5,250.0,2,3
21,6,-5.684341886080802e-14,3,2
22,1,-5.684341886080802e-14,1,2
22,2,68.17905341848463,2,1
22,3,73.84074028663855,1,3
22,4,-5.684341886080802e-14,3,1
22,5,250.0,2,3
22,6,-5.684341886080802e-14,3,2
23,1,-5.684341886080802e-14,1,2
23,2,51.33927251834971,2,1
23,3,76.5281753588837,1,3
23,4,-5.684341886080802e-14,3,1
23,5,250.0,2,3
23,6,-5.684341886080802e-14,3,2
24,1,-5.684341886080802e-14,1,2
24,2,39.19985605259978,2,1
24,3,76.52475057800811,1,3
24,4,-5.684341886080802e-14,3,1
24,5,250.0,2,3
24,6,-5.684341886080802e-14,3,2
25,1,-5.684341886080802e-14,1,2
25,2,47.58231793617474,2,1
25,3,88.00142182170796,1,3
25,4,-5.684341886080802e-14,3,1
25,5,250.0,2,3
25,6,-5.684341886080802e-14,3,2
26,1,-5.684341886080802e-14,1,2
26,2,34.59134393227488,2,1
26,3,75.32284449137708,1,3
26,4,-5.684341886080802e-14,3,1
26,5,250.0,2,3
26,6,-5.684341886080802e-14,3,2
27,1,-5.684341886080802e-14,1,2
27,2,17.2341869089499,2,1
27,3,56.044226538785324,1,3
27,4,-5.684341886080802e-14,3,1
27,5,235.3112100178754,2,3
27,6,-5.684341886080802e-14,3,2
28,1,-5.684341886080802e-14,1,2
28,2,7.549999924499942,2,1
28,3,43.76450493975491,1,3
28,4,-5.684341886080802e-14,3,1
28,5,192.4937939464258,2,3
28,6,-5.684341886080802e-14,3,2
29,1,-5.684341886080802e-14,1,2
29,2,-5.684341886080802e-14,2,1
29,3,39.72498747939984,1,3
29,4,-5.684341886080802e-14,3,1
29,5,99.52127713324954,2,3
29,6,-5.684341886080802e-14,3,2
30,1,0.3030302999999397,1,2
30,2,-5.684341886080802e-14,2,1
30,3,36.47410317097493,1,3
30,4,-5.684341886080802e-14,3,1
30,5,45.843230120750064,2,3
30,6,-5.684341886080802e-14,3,2
31,1,-5.684341886080802e-14,1,2
31,2,-5.684341886080802e-14,2,1
31,3,25.74671846647488,1,3
31,4,-5.684341886080802e-14,3,1
31,5,27.06243962552488,2,3
31,6,-5.684341886080802e-14,3,2
32,1,1.0303030199999443,1,2
32,2,10.240590822848176,2,1
32,3,13.188967910699986,1,3
32,4,-5.684341886080802e-14,3,1
32,5,35.4040423241267,2,3
32,6,-5.684341886080802e-14,3,2
33,1,-5.684341886080802e-14,1,2
33,2,47.95688182932341,2,1
33,3,-5.684341886080802e-14,1,3
33,4,-5.684341886080802e-14,3,1
33,5,71.02762999875151,2,3
33,6,-5.684341886080802e-14,3,2
34,1,-5.684341886080802e-14,1,2
34,2,65.43477314580825,2,1
