1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
42.91,42.35,42.64,43.21,41.69,34.96,24.42,16.96,14.54,12.04,9.24,12.88,11.86,4.22,0.09,0.19,6.85,12.39,10.53,7.46,7.63,5.27,1.32,0.23
42.53,41.31,44.15,42.3,36.96,20.32,10.08,9.82,12.97,6.01,8.32,21.51,0.48,-0.0,0.0,0.21,13.7,14.28,3.55,6.55,7.98,-0.0,-0.0,-0.0
43.4,41.12,44.12,46.42,49.6,38.76,24.09,16.11,18.06,10.17,4.25,23.23,8.44,0.18,0.18,-0.0,10.5,17.51,8.38,7.28,10.54,2.63,0.47,-0.0
42.35,42.64,43.21,41.69,34.96,24.42,16.96,14.54,12.04,9.24,12.88,11.86,4.22,0.09,0.19,6.85,12.39,10.53,7.46,7.63,5.27,1.32,0.23,0.04
238.8,238.17,235.05,231.04,227.41,219.94,205.73,187.67,175.03,154.88,114.87,64.98,30.74,28.39,20.49,7.03,4.89,46.12,95.62,141.22,179.04,201.97,216.65,219.1
237.52,236.61,227.57,226.61,219.38,204.57,179.7,161.8,158.54,107.48,49.07,-0.0,13.87,32.62,-0.0,6.96,-0.0,92.25,146.08,213.03,215.21,235.39,226.99,219.67
239.73,242.53,235.47,235.43,235.32,231.76,213.54,191.53,202.28,180.67,129.96,47.62,24.17,40.98,7.09,9.79,-0.0,45.15,69.4,142.87,168.55,206.31,218.52,217.62
238.17,235.05,231.04,227.41,219.94,205.73,187.67,175.03,154.88,114.87,64.98,30.74,28.39,20.49,7.03,4.89,46.12,95.62,141.22,179.04,201.97,216.65,219.1,219.07
141.4,164.83,165.58,138.97,127.08,126.4,119.99,86.26,49.08,21.74,-0.0,10.51,22.18,28.17,21.76,19.87,26.58,27.2,27.23,27.2,39.75,72.63,83.83,59.33
157.57,209.18,122.84,115.5,115.31,129.24,91.43,22.64,13.22,-0.0,-0.0,21.02,33.08,31.05,4.54,32.9,29.54,27.25,28.75,30.02,74.7,121.55,63.34,18.44
120.47,208.31,162.45,138.86,123.56,148.56,149.87,84.95,43.48,-0.0,-0.0,11.28,25.29,38.99,6.84,23.63,27.14,25.72,24.37,4.8,23.72,104.32,100.21,57.54
164.83,165.58,138.97,127.08,126.4,119.99,86.26,49.08,21.74,-0.0,10.51,22.18,28.17,21.76,19.87,26.58,27.2,27.23,27.2,39.75,72.63,83.83,59.33,38.78
214.03,213.85,213.15,212.66,211.25,206.46,193.23,169.08,140.85,105.06,58.65,19.22,1.1,0.61,0.18,0.0,-0.0,47.99,83.56,93.84,112.92,119.53,141.03,167.59
213.7,213.41,211.51,212.14,206.08,195.09,164.1,127.88,97.59,44.7,-0.0,-0.0,2.2,0.27,-0.0,0.0,-0.0,95.99,84.94,119.7,138.1,120.79,200.78,179.61
214.28,214.78,213.18,216.41,217.82,222.36,210.29,184.1,165.42,117.29,38.45,-0.0,0.95,0.36,-0.0,-0.0,-0.0,82.19,67.99,87.75,118.26,81.28,155.57,163.0
213.85,213.15,212.66,211.25,206.46,193.23,169.08,140.85,105.06,58.65,19.22,1.1,0.61,0.18,0.0,-0.0,47.99,83.56,93.84,112.92,119.53,141.03,167.59,172.54
